ID,A,B,NEITHER
development-1,1,0,0
development-2,1,0,0
development-3,0,1,0
development-4,0,1,0
development-5,0,1,0
development-6,1,0,0
development-7,0,0,1
development-8,0,1,0
development-9,0,1,0
development-10,1,0,0
development-11,0,1,0
development-12,1,0,0
development-13,1,0,0
development-14,1,0,0
development-15,1,0,0
development-16,0,0,1
development-17,1,0,0
development-18,0,0,1
development-19,0,1,0
development-20,0,1,0
development-21,0,1,0
development-22,1,0,0
development-23,1,0,0
development-24,0,1,0
development-25,1,0,0
development-26,0,1,0
development-27,0,1,0
development-28,1,0,0
development-29,0,0,1
development-30,1,0,0
development-31,0,1,0
development-32,0,0,1
development-33,0,1,0
development-34,0,0,1
development-35,1,0,0
development-36,1,0,0
development-37,0,1,0
development-38,0,1,0
development-39,1,0,0
development-40,1,0,0
development-41,0,1,0
development-42,1,0,0
development-43,0,1,0
development-44,0,1,0
development-45,0,1,0
development-46,0,0,1
development-47,0,0,1
development-48,0,1,0
development-49,1,0,0
development-50,0,0,1
development-51,0,1,0
development-52,0,1,0
development-53,0,1,0
development-54,0,1,0
development-55,0,1,0
development-56,0,0,1
development-57,0,1,0
development-58,1,0,0
development-59,1,0,0
development-60,1,0,0
development-61,0,1,0
development-62,1,0,0
development-63,0,1,0
development-64,0,1,0
development-65,0,1,0
development-66,0,1,0
development-67,1,0,0
development-68,0,0,1
development-69,0,1,0
development-70,1,0,0
development-71,0,1,0
development-72,1,0,0
development-73,0,1,0
development-74,1,0,0
development-75,0,1,0
development-76,1,0,0
development-77,0,1,0
development-78,0,1,0
development-79,0,0,1
development-80,0,1,0
development-81,0,0,1
development-82,1,0,0
development-83,0,1,0
development-84,0,1,0
development-85,1,0,0
development-86,1,0,0
development-87,1,0,0
development-88,1,0,0
development-89,0,0,1
development-90,1,0,0
development-91,0,1,0
development-92,0,1,0
development-93,0,0,1
development-94,1,0,0
development-95,1,0,0
development-96,1,0,0
development-97,0,1,0
development-98,0,0,1
development-99,1,0,0
development-100,0,0,1
development-101,1,0,0
development-102,0,0,1
development-103,0,1,0
development-104,1,0,0
development-105,1,0,0
development-106,1,0,0
development-107,1,0,0
development-108,0,1,0
development-109,1,0,0
development-110,0,1,0
development-111,1,0,0
development-112,1,0,0
development-113,0,0,1
development-114,0,1,0
development-115,0,0,1
development-116,0,1,0
development-117,1,0,0
development-118,1,0,0
development-119,0,1,0
development-120,1,0,0
development-121,0,1,0
development-122,0,0,1
development-123,0,0,1
development-124,1,0,0
development-125,0,1,0
development-126,0,1,0
development-127,0,1,0
development-128,0,1,0
development-129,1,0,0
development-130,1,0,0
development-131,0,1,0
development-132,1,0,0
development-133,1,0,0
development-134,0,1,0
development-135,0,1,0
development-136,1,0,0
development-137,1,0,0
development-138,0,1,0
development-139,1,0,0
development-140,0,1,0
development-141,1,0,0
development-142,0,0,1
development-143,1,0,0
development-144,0,1,0
development-145,1,0,0
development-146,1,0,0
development-147,0,1,0
development-148,0,1,0
development-149,0,1,0
development-150,0,1,0
development-151,1,0,0
development-152,0,1,0
development-153,1,0,0
development-154,0,1,0
development-155,1,0,0
development-156,0,0,1
development-157,0,1,0
development-158,1,0,0
development-159,1,0,0
development-160,1,0,0
development-161,1,0,0
development-162,0,1,0
development-163,1,0,0
development-164,1,0,0
development-165,0,1,0
development-166,0,1,0
development-167,1,0,0
development-168,0,1,0
development-169,0,1,0
development-170,1,0,0
development-171,1,0,0
development-172,0,1,0
development-173,1,0,0
development-174,1,0,0
development-175,1,0,0
development-176,0,1,0
development-177,0,1,0
development-178,0,1,0
development-179,0,0,1
development-180,1,0,0
development-181,0,0,1
development-182,1,0,0
development-183,1,0,0
development-184,1,0,0
development-185,1,0,0
development-186,1,0,0
development-187,1,0,0
development-188,0,1,0
development-189,1,0,0
development-190,1,0,0
development-191,0,0,1
development-192,0,1,0
development-193,0,1,0
development-194,0,1,0
development-195,0,1,0
development-196,1,0,0
development-197,1,0,0
development-198,0,1,0
development-199,1,0,0
development-200,0,1,0
development-201,0,0,1
development-202,0,1,0
development-203,1,0,0
development-204,0,1,0
development-205,0,1,0
development-206,1,0,0
development-207,0,1,0
development-208,1,0,0
development-209,0,1,0
development-210,0,1,0
development-211,0,1,0
development-212,0,1,0
development-213,0,1,0
development-214,0,1,0
development-215,0,1,0
development-216,0,1,0
development-217,1,0,0
development-218,0,1,0
development-219,1,0,0
development-220,0,1,0
development-221,1,0,0
development-222,1,0,0
development-223,1,0,0
development-224,0,0,1
development-225,1,0,0
development-226,1,0,0
development-227,0,1,0
development-228,1,0,0
development-229,0,1,0
development-230,0,1,0
development-231,0,1,0
development-232,0,1,0
development-233,1,0,0
development-234,0,0,1
development-235,0,1,0
development-236,0,1,0
development-237,0,1,0
development-238,0,1,0
development-239,1,0,0
development-240,0,0,1
development-241,0,1,0
development-242,1,0,0
development-243,0,1,0
development-244,1,0,0
development-245,0,0,1
development-246,0,1,0
development-247,1,0,0
development-248,0,1,0
development-249,1,0,0
development-250,0,1,0
development-251,0,1,0
development-252,1,0,0
development-253,1,0,0
development-254,0,1,0
development-255,0,0,1
development-256,1,0,0
development-257,0,0,1
development-258,0,1,0
development-259,1,0,0
development-260,1,0,0
development-261,0,1,0
development-262,0,1,0
development-263,0,1,0
development-264,1,0,0
development-265,1,0,0
development-266,1,0,0
development-267,0,1,0
development-268,1,0,0
development-269,0,1,0
development-270,0,1,0
development-271,1,0,0
development-272,0,1,0
development-273,0,1,0
development-274,1,0,0
development-275,0,1,0
development-276,1,0,0
development-277,1,0,0
development-278,1,0,0
development-279,0,1,0
development-280,0,0,1
development-281,0,1,0
development-282,0,1,0
development-283,0,1,0
development-284,0,1,0
development-285,1,0,0
development-286,1,0,0
development-287,1,0,0
development-288,0,1,0
development-289,1,0,0
development-290,0,1,0
development-291,0,1,0
development-292,1,0,0
development-293,0,1,0
development-294,1,0,0
development-295,0,1,0
development-296,0,1,0
development-297,1,0,0
development-298,1,0,0
development-299,1,0,0
development-300,1,0,0
development-301,0,1,0
development-302,1,0,0
development-303,0,1,0
development-304,1,0,0
development-305,0,1,0
development-306,0,1,0
development-307,1,0,0
development-308,1,0,0
development-309,0,1,0
development-310,0,1,0
development-311,1,0,0
development-312,1,0,0
development-313,0,1,0
development-314,1,0,0
development-315,1,0,0
development-316,1,0,0
development-317,1,0,0
development-318,0,1,0
development-319,1,0,0
development-320,1,0,0
development-321,1,0,0
development-322,0,1,0
development-323,1,0,0
development-324,0,1,0
development-325,1,0,0
development-326,0,1,0
development-327,1,0,0
development-328,0,1,0
development-329,0,1,0
development-330,1,0,0
development-331,0,1,0
